dataid,gameid
1349038,20140317BOSDAL
1349361,20140317UTAHOU
1348956,20140317OKCCHI
1349045,20140317PHXBKN
1349945,20140317ATLCHA
1349274,20140317PHIIND
1349037,20140318ORLGSW
1349624,20140318WASSAC
1349217,20140318MILPOR
1349817,20140318TORATL
1349558,20140318MIACLE
1349240,20140319SASLAL
1348847,20140319ORLPHX
1348853,20140319DETDEN
1349044,20140319MINDAL
1349889,20140319INDNYK
1349881,20140319TORNOP
1349669,20140319UTAMEM
1349049,20140319CHABKN
1349249,20140319MIABOS
1349456,20140319CHIPHI
1349042,20140320MILGSW
1349224,20140320WASPOR
1349367,20140320MINHOU
1349565,20140320OKCCLE
1349246,20140321WASLAL
1348849,20140321DETPHX
1349625,20140321SASSAC
1349051,20140321DENDAL
1349842,20140321NOPATL
1349708,20140321MEMMIA
1349054,20140321BOSBKN
1349465,20140321NYKPHI
1349933,20140321OKCTOR
1349279,20140321CHIIND
1349047,20140322SASGSW
1349470,20140322DETLAC
1349649,20140322ORLUTA
1349886,20140322MIANOP
1349675,20140322INDMEM
1348963,20140322PHICHI
1349570,20140322HOUCLE
1349949,20140322PORCHA
1349251,20140323ORLLAL
1349892,20140323CLENYK
1349056,20140323BKNDAL
1349628,20140323MILSAC
